[2025-12-28 01:35:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:39:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:39:35] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:53:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:53:17] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:54:06] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:54:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:56:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:56:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:56:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 01:56:26] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:11:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:12:15] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:36:22] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:39:22] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:45:53] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:52:15] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 03:55:34] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:00:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:01:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:03:27] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:14:33] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:22:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:25:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:27:32] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:30:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:30:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:30:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:30:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:30:43] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:32:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:37:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:39:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:39:55] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:40:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:40:38] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:40:56] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:41:16] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:41:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:44:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:44:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:45:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:45:48] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:46:05] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:46:24] toggle_play_pause called | allow_video_detach=False | detached=False
